S. No.,Category Name,,Description(Minimum 80 words),location,CONTACT,Reviews,Rating,Images
1,Indian Institutes of Engineering Science and Technology,www.becs.ac.in,"The Indian Institute of Engineering Science and Technology (IIEST), Shibpur, has been ranked 20 in the National Institutional Ranking Framework (NIRF) assessment of engineering colleges, undertaken by the ministry of human resource development.
The ministry had earlier given the institute a rank of 82, allegedly because the IIEST authorities had not submitted their data within the set deadline.We are working on the process to make NIRF even better from next time. This was the first year, so there is scope to improve on our policies, which we are currently working on. Not only IIEST, but the rankings of two or three more institutes have changed or been elevated. Many institutes submitted their data late. This will not be allowed from next year,"" said an MHRD source.","P.O.Botanic Garden, Shalimar shibpur, Indian Institute of Engineering Science and Technology, Botanical Garden, Area, Howrah, West Bengal 711103",033 2668 4562,"1. 2nd Oldest Engg. College, a premier Institute of India, a long list of notable alumni, an outstanding faculty, lots of projects undertaken by faculty and students alike, clubs to suit everyone's interests - these are just facts, plain ol' boring facts which can be found by anyone using Wikipedia. 

But no amount of words nor facts can stand testimony to the rich cultural heritage of this hallowed Institute, the diversity, the unity and the exuberance of the students and all individuals adhered to this Institute.",5,
,,,,,,"2. I was a second generation student in B.E college (means my father is also an alumnus). This college has a lot of trouble in terms of funding, adequate research structure & facilities compared to other A grade institutions in this country. But the name commands a respect within academic as well as corporate circles. This college honed my social skills, taught me perseverance & the value of sharing.
Not going into technical details as those are easily available. If you study in this college I assure you that you will have the time of your life.",5,
,,,,,,"3. One of the most premier institutes of the country, which has been serving the nation since 1856. This pioneer institute has gifted the world many engineers for the last 156 years.",4,
,,,,,,4. he country's first IIEST!!!...and the second oldest engineering institute in India....Also one of the top 20 engineering institutes of India in 2013,4,
,,,,,,"5. Certainly lacks the facility & infrastructure of a top notch institute (refers to my dept.-archi), and heard a lot of complaints from my B.Tech friends about the placement department, which I presume is true to a large extent, although the new INI tag will be able to solve the problem, hopefully.
But, students here get one hell of an experience of the hostel life, senior-junior relationship is something we learn to treasure and cherish.
Add to it the fact that it is the country's second oldest insti., the long list of golden achiever alumni certainly evokes a feeling of pride, and lots of age-old colonial buildings(still functional) including a runic graveyard, !",4,
,,,,,,,,
2,Institute of Hotel Management,www.ihmctan.edu,"The Institute of Hotel Management, Catering Technology and Applied Nutrition, Mumbai, the first of its kind in South East Asia was founded in the year 1954 by the All India Women’s Central Food Council under the leadership of Late Smt. Lilavati Munshi. 

Late Smt. Lilavati Munshi with a band of courageous women which included Smt. Homi J H Taleyarkhan and Smt. Leela N Jog under the name of All India Women’s Central Food Council established a chain of Annapoornas (restaurants) throughout the country, but primarily in the metropolitan cities to prepare and sell economic but nutritionally sound snacks and foods.

The purpose was to improve the nutritional status of the average from a high cereal diet to a more balanced diet. The critical factor however was to find trained personnel to run these Annapoornas on a self-financing basis. Hence the birth of the training Institute - IHM Mumbai.

Hotel Management and Catering Technology was still a young discipline in those days even in the West, in fact, the school of Hotel Administration of Cornell University bifurcated from the Department of Home Economics as a separate faculty only in 1954.","Institute of Hotel Management, Catering Technology and Applied Nutrition
Veer Savarkar Marg, Dadar (W), Mumbai 400 028."," (022) 2445 7241/42, 
2445 9154","1. The college is located at a very strategic location, easy to commute. The faculty is experienced and friendly. The course is fun for those interested in the field. Equipment’s used are updated. The only backdrop is, the college allots hostel only to second year students.
",4,
,,,,,,"2. On paper we have the best teachers in our country with some of them receiving the best teacher award from the Ministry of Tourism every year. 
My personal experience is that I highly doubt they are the best in the country  *chuckles. ",4,
,,,,,,"3. Satisfactorily good infrastructure. They have a different kitchen for each of the batch I. E first, second and third year. Pretty decent kitchens, good enough for a budding chef. 
The Fnb Service area is also decent. They have a restaurant 'scholar'. It is good when you keep in mind the other colleges in India.
They have two computer labs for the front office department. 
And not anything as such for Housekeeping. ",5,
,,,,,,"4. Well to start of hotel management isn't the dream of every child, it is a course that has become prominent despite the ignorance of many about it's scope, in my opinion to excel in this field and excellent education is required, that is what IHM Mumbai has been doing since 1964.",4,
,,,,,,"5.The academics is great
It is nice and student oriented
It helps the students to focus more",5,
,,,,,,,,
