S. No.,Category Name,URL if available,Description(Minimum 80 words),Reviews,Rating,Images
,,,,,,
1,Air conditioning,,"Air conditioning (often referred to as AC, A.C., or A/C) is the process of
 removing heat from a confined space, thus cooling the air, and 
removing humidity. This process is used to achieve a more 
comfortable interior environments, typically for humans or animals;
 however, air conditioners are also used to cool rooms filled with
 heat-producing electronic devices, such as computer servers or
 power amplifiers. Air conditioners often use a fan to distribute the
 conditioned air to an occupied space such as a building or a car to 
improve thermal comfort and indoor air quality. Electric refrigerant-
based AC units range from small units that can cool a small 
bedroom, which can be carried by a single adult to massive units 
installed on the roof of office towers that can cool an entire building. 
The cooling is typically achieved through a refrigeration cycle, 
but sometimes evaporation or free cooling is used. Air 
conditioning systems can also be made based on desiccants. 
(chemicals which remove moisture from the air)[1]

In the most general sense, air conditioning can refer to any form of
 technology that modifies the condition of air (heating, cooling, (de-)
humidification, cleaning, ventilation, or air movement). In common
 usage, though, ""air conditioning"" refers to systems which cool air. 
In construction, a complete system of heating, ventilation, and air 
conditioning is referred to as heating, ventilation, and air 
conditioning (HVAC – as opposed to AC)","1. Air conditioning  removing heat from a confined space, thus cooling the air, and removing humidity",5,
,,,,2.A.C.  initial Cost as well a running costs are very high.,4,
,,,,3. No need to fill the water in AC . good for use.,5,
,,,,4.Using remote we can control the temperature of room.,5,
,,,,5. Needs to be maintained professionally. Maintenance cost is higher,4,
,,,,,,
2,Microwave oven,,"A microwave oven (commonly referred to as a microwave) is a kitchen
 appliance that heats and cooks food by exposing it to microwave
 radiation in the electromagnetic spectrum. This induces polar 
molecules in the food to rotate and produce thermal energy in a 
process known as dielectric heating. Microwave ovens heat foods
 quickly and efficiently because excitation is fairly uniform in the outer
 25–38 mm (1–1.5 inches) of a homogeneous, high water content
 food item; food is more evenly heated throughout (except in 
heterogeneous, dense objects) than generally occurs in other cooking
 techniques.
Percy Spencer is generally credited with inventing the modern 
microwave oven after World War II from radar technology developed
 during the war. Named the ""Radarange"", it was first sold in 1946. 
Raytheon later licensed its patents for a home-use microwave 
oven that was first introduced by Tappan in 1955, but these units
 were still too large and expensive for general home use. The 
countertop microwave oven was first introduced in 1967 by the
 Amana Corporation, and their use has spread into commercial 
and residential kitchens around the world.
Microwave ovens are popular for reheating previously cooked foods
 and cooking a variety of foods. They are also useful for rapid 
heating of otherwise slowly prepared cooking items, such as hot
 butter, fats, and chocolate. Unlike conventional ovens, microwave
 ovens usually do not directly brown or caramelize food, since they 
rarely attain the necessary temperatures to produce Maillard 
reactions. Exceptions occur in rare cases where the oven is
 used to heat frying-oil and other very oily items (such as bacon),
 which attain far higher temperatures than that of boiling water. 
Microwave ovens have a limited role in professional cooking
 because the boiling-range temperatures produced in
 especially hydrous foods impede flavors produced by the
 higher temperatures of frying, browning, or baking. However,
 additional heat sources can be added to microwave ovens, 
or into combination microwave ovens, to produce these 
other heating effects, and microwave heating may cut the overall 
time needed to prepare such dishes. Some modern microwave 
ovens are part of over-the-range units with built-in extractor hoods.",1. The capacity of a microwave oven defines the size of the oven and the amount of food that you can cook in it at one time.,5,
,,,,2. This is good for heavy and rough usage.,4,
,,,,"3. Precise and accurate in readings as compared to the mechanical controls, but should be handled with care.",4,
,,,,4. Thus has a microprocessor that sets cooking time and power levels automatically,5,
,,,,5. A child safety lock is an electronic lock that prevents misuse or accidental operation of the microwave oven by children.,5,
,,,,,,
3,Appliance plug,,"An appliance plug is a three-conductor power connector originally 
developed for kettles, toasters and similar small appliances. It was
 common in the United Kingdom, New Zealand, Australia, Germany,
 the Netherlands and Sweden.
It has largely been made obsolete and replaced by IEC 60320 C15
 and C16 connectors, or proprietary connectors to base plates for 
cordless kettles. It still occurs on some traditional ceramic electric 
jugs. It is also used for some laboratory water stills.
On some models of the classical ceramic electric jug, the appliance
 plug prevents the lid from being raised while the connector is inserted.
 This is important as during operation of these jugs, the water it 
contains is connected to the electric mains and is an electric shock risk.
Appliance plugs were also used to supply power to electric toasters, 
electric coffee percolators, electric frypans, and many other 
appliances. An appliance plug is to some degree heat resistant, but the 
maximum working temperature varied from manufacturer to 
manufacturer and even from batch to batch.
Appliance socket and plug
The mains connectors of the appliance plug are two rounded sockets 
that accept two rounded pins from the appliance. They are unpolarised. 
The third connection, earth, is a large metal contact on each side 
of the plug body which makes contact with the sides of the plug 
receptacle, grounding the appliance body. Some appliances using
 these connectors incorporate a spring and plunger mechanism with
 a temperature-sensitive release system; if the temperature rises 
significantly above a preset limit - for example, if a kettle boils dry - the
 spring is released and (if all goes well) the plunger pushes the plug 
and socket apart. It must then be allowed to cool and reset manually
 by forcing the connector back into the appliance.
A plug of same design but probably different dimensions was in use in 
former USSR for powering electric kettles and electric samovars.","1. I was hoping plugs would be better then let's say a Sears or a big box store when it came to delivery. They were not my refrigerator came in with a dented door. I thought for some reason they would check it before they brought it to me. They did not.  When I called to complain, I said I wasn't happy and I thought the woman that sold it to me could have been a little nicer on the phone.  The delivery fellows were great it's the store that wasn't.  By the way it was the store West Ashley.",1,
,,,,"2. Updating my prior review after Plugs owner worked to make things right. Seeing my yelp review he contacted me quickly to offer a loaner and then replacement option for the refrigerator I had originally ordered, which was not available in time for my holiday needs. He sent the replacement ""on trial"" and did not ask for payment until I was sure it would work for me. Clearly this business wants to make things right for the customer. I would try again if I have future appliance needs.",4,
,,,,,,
4,Back boiler Stove,,"When you first look at a solid fuel plumbing diagram it can, if you are not a plumber, look a little daunting. This section of the Stove Fitter’s Manual is designed in such a way that, should you read it step by step, you will gradually build up a picture of a circuit a little at a time. Then, when you look at a plumbing diagram for “a typical system” you will understand it (hopefully). It is really not complicated. A wood burning or multifuel stove can, if it is fitted with a boiler, be used to heat a cylinder of water (for domestic hot water such as taps/bath/shower etc.) and/or one or more radiators.

A boiler is a metal box with water in it (it’s that simple) – it can be as simple as a cavity that is bolted within the stove.  This box will have two (or four) pipes that protrude through the rear of the stove ready to be attached to plumbing pipes. This style of boiler might be pre-fitted within the stove or sold as an add-on for the customer to fit themselves.

A stove might be designed with a “water jacket”. in this case the body of the stove has a cavity that can be filled with water (usually this cavity is in the rear and sides of the stoves and hence a common term for these boilers is a “wrap-around boiler”).","1. Bought the 5kw curve! Wow! Excellent service, excellent communication right through to the delivery! The stove itself is amazing! Highly recommended! & to stove world well done 5* & thank-you cannot recommend enough already spread the word!! Many thanks!",5,
,,,,"2. Good service,had this stove 1 year now. Very efficient stove and produces lots of heat. I burn wood the vast majority of the time and I found that if I take the grate out it burns a thousand times better compared to burning wood on top of the grate, I was initially having problems getting the wood burning, I even opened the patio doors for maximum oxygen and opened vents fully and it still struggled. For the money I don't think this stove can be beaten.",4,
,,,,"3. It is with a heavy hart that I don't leave a 5 star review. The product is amazing, we have had the oven for 2 months now and have had amazing results for it. We cook all kind of things in the oven such as pizza, stakes and slow roasted Joints of meat. The only issue we have had is the temp gauge on the oven blackened the first time we used the oven. Stove world offered to replace the gauge but to date we have not received the replacement. So I will now replace the gauge at my own cost. (Thankfully you can get them cheaply on Amazon) Apart from the gauge issue I would recommend this oven. It's very well priced, well made and delivered quickly.",3,
,,,,"4. I bought this stove at the beginning of the winter and have used it almost every day since. My central heating has not been used since I fitted it and my 2 bed house is warmer than it ever was with heating. The stove retains it's heat over night so the house is still pleasantly warm in the morning, even after a cold winter night. The people at Stoveworld were very friendly and helpful, I went there with the intention of buying a different model (inset) the sound advice they gave ensured that I bought the correct model for my home. It cost around £300 for the stove, register plate and flue pipe. I spent a day installing it and due to a free supply of firewood have spent nothing else on heating my home this winter.",4,
,,,,,,
