S. No.,Category Name,URL if available,Description(Minimum 80 words),,,Reviews,Rating,Images
1,MarutiSuzuki,http://www.marutisuzuki.com/,"We started out in 1982 in Gurgaon, Haryana. Little did the then quiet suburb of New Delhi know, that it was going to become the epicenter of the automobile revolution in India. The year marked the birth of the Maruti Suzuki factory. India turned out 40,000 cars every year. The new Maruti Suzuki 800 hit the streets to begin a whole new chapter in the Indian automobile industry.We set out with an obsession for customer delight, one that was unheard in the corridors of automobile manufacturers then. It was about a commitment to create value through innovation, quality, creativity, partnerships, openness and learning. It created a road that was going to lead the world in to a whole new direction, laid out by Maruti Suzuki.
Today, Maruti Suzuki alone makes 1.5 million family cars every year. That’s one car every 12 seconds. We drove up head and shoulders above every major global auto company. Yet, our story was not just about making a mark. It was about revolutionary cars that delivered great performance, efficiency and environment friendliness with low cost of ownership. That’s what we call true value. We built our story with a belief in small cars for a big future.","Maruti Suzuki India Limited,
1, Nelson Mandela Road,
Vasant Kunj, 
New Delhi - 110070",011-46781000,"1. 

Pros

Great exposure to some of the bggest global suppliers and vendors. Independent work to lead projects from an early age.

Cons

Works like a government company. Not enough room to grow vertically as the organization is pretty big. Its difficult to live in gurgaon during monsoons
",4,
,,,,,,,,
2,PSA Peugeot-Citroën,https://www.groupe-psa.com,"From the production of one of the first petrol cars in the 19th century to the invention of the technologies required for the advent of the intelligent, connected and autonomous car of the future, the history of the PSA group is marked by a dynamic industrial heritage stretching back over 200 years. With the Group ushering in a new phase in its story, marked by a deep-seated customer-driven transformation, read about the key dates in the history of the PSA group.","PSA Group 
Paris Grande Armée 
75, Avenue de la Grande Armée 
75116 PARIS",33 (0)1 40 66 55 11+33 (0)1 40 66 55 11,"1. 

Pros
Global enterprise. Many applicative domaines.
Good Work/life balance.

Cons
Technologies are not up to date.

Advice to Management
Very interesting intercultural management.
",3,
,,,,,,"2. 
Pros
For PSA Group Design language and philosophy really matters! It is great! Good job opportunities, and liberty to work...very nice team and management relationship.

Cons
Direction decision is not accurate...they change the design direction every single review.....several reviews, lots of loopings....work does not finish.
",3,
,,,,,,,,
3,Honda Motor,www.hondacarindia.com,"HCIL's first manufacturing unit was set up at Greater Noida, U.P in 1997. The green field project is spread across 150 acres and has an annual production capacity of 120,000 units. HCIL's second plant in Tapukara is the first car manufacturing plant in the state of Rajasthan. The state-of the art Power train and Press shop in Tapukara plant have been operational since September 2008. This facility is spread over 450 acres and has an annual production capacity of 120,000 units. HCIL started the production of cars from its Tapukara Plant from February 2014. This plant is the culmination of the best manufacturing know-how and practices gathered from Honda's global operations.Transport yourself to any year since our founding and you’ll find Honda associates with their gazes fixed on the future. We’ve never been afraid to take huge chances on tomorrow, and we’ll never stop daring to dream bigger.We're not thinking just about today or tomorrow, but preparing for the next 50 years of mobility, and we continue to think about how we can advance all stages of human mobility: walking, riding, driving and flying.","Honda Cars India Ltd.
Plot No. A-1, Sector 40/ 41
Surajpur-Kasna Road
Greater Noida Industrial Development Area
Distt. Gautam Budh Nagar
U.P. 201 306",0120 - 234 1313/ 1321/ 1327/ 1801/ 1806,"1. Pros
 Have great customer service love to work

  Cons
  Working third shift and not caring about there employees
",3,
,,,,,,"2.Pros
A great car company. Good quality and ambitious.
Cons
Management was without love and life. Being with customers and hearing their complaint all day takes a toll.",4,
,,,,,,"3..Pros
Multi vehicle support for service issues
Cons
Uneducated Management
Misdirected departments",2,
,,,,,,,,
4,Fiat-Chrysler,https://www.fcagroup.com/en-US/Pages/home.aspx,"Entering the world of FCA means getting a chance to work in a dynamic, multicultural context where people are valued for their aptitudes and their abilities, where one is gauged based on meritocracy and where dialogue, exchange and participation are a tool for sharing ideas and projects to reach ambitious worldwide goals together.

Because of the guiding spirit and values that drive FCA, everyone in the organization has the opportunity to participate in a more certain and rewarding future and work in an environment where the exchange of cultures and know-how offers significant potential for professional and personal growth.​​","1000 Chrysler Drive, Auburn Hills, MI USA 48326-2766, CIMS 485-12-94",1 248 512 2950,"1. Pros

Fun and distinctive styling; returns good fuel economy when equipped with the manual transmission; surprisingly spacious for two people.

Cons

The sunroof severely limits front headroom; base engine is extremely slow; disappointing fuel economy with automatic transmission; poor rear visibility with the convertible's top lowered.",4,
,,,,,,"2. it did so not with the expected mass-market family sedan or crossover SUV but with the 500, a fuel-efficient city car that brought a playful attitude to the normally no-frills subcompact market",3,
,,,,,,3. We like the Fiat 500 for its stylish looks and easy-to-maneuver nature in urban settings,4,
,,,,,,,,
