S. No.,Category Name,URL if available,Description(Minimum 80 words),Location,Contact,Reviews,Rating,Images
1,Agro Tech Foods Ltd,www.atfoods.com,"Agro Tech Foods Limited is engaged in the business of 
marketing food and food ingredients to consumers and
 institutional customers. The Company offers its products
 under various categories, which include edible oils and 
sprays; snacks; soups, puddings and desserts; spreads, and 
meals and meal enhancers. The Company's brands include 
Sundrop Oils, ACT II Popcorn, Sundrop Peanut Butter, Crystal
 and ACT II Nachoz. Sundrop offers a range of oils to its
 consumers, such as Heart, Olivea, Nutrifit, Heartlite, Slimlite, 
Goldlite and Lite, among others. ACT II Popcorn is available in 
approximately three variants, which include microwave popcorn, 
instant popcorn and ready-to-eat popcorn. The Company's
 plants are located at Gujarat, Telangana and Uttar Pradesh. 
Its subsidiaries include Sundrop Foods India Private Limited, 
Agro Tech Foods (Bangladesh) Pvt. Ltd. and Sundrop Foods 
Lanka (Private) Limited.","Agro Tech Foods Ltd.,31 Sarojini Devi Road, 
Secunderabad - 500003",4066333444,"1. Long working hrs in Commercial department.
Learned :Oracle & Excel particularly running Macros & Vlookups
Management - Is good
Co workers- Good and coordinating with each other
Hardest part of the job - Further growth restriction
Most enjoyable part of the job:- having party at the end of the Audit",4,
,,,,"
",,2. Long hectic day at work,2,
,,,,"
",,3. Good Management,3,
,,,,,,,,
2,Dhampur Sugar Mills Ltd.,http://www.dhampur.com/,"Dhampur Sugar Mills was established in 1933, and began it’s 
operations in a small town called Dhampur located in the state
 of Uttar Pradesh, India , with a sugar mill having a crushing
 capacity of 300 tonnes of cane per day. Dhampur Sugar Mills
 (Dhampur) is one of the leading integrated sugarcane
 processing companies in India. Our continuous and often
 pioneering efforts to harness the full potential of sugarcane
 has enabled us to expand our portfolio beyond sugar to include 
renewable power, fuel ethanol, alcohol, extra neutral alcohol, 
alcohol based chemicals and bio fertilizers.","SH 49, Dhampur, Uttar Pradesh 246761",01344 220 006,1. Government type set up and no pressure,4,
,,,,,,2. no career growth and risk of termination high,1,
,,,,,,3. All team mates are not so good. They don't let me play. You can learn from him and rehabilitate after doing enormous mistakes. He is really an inspiration.,1,
,,,,,,"4. work appreciation, friendly environment, good work experience",3,
,,,,,,,,
3,Diana Tea Company Ltd,http://www.dianatea.in,"Diana Tea Company Limited (DTCL) is a century old company,
 registered in the year 1911. The company was run by Nawab 
Gulam Jabbar & Family till 1976. DTCL was engaged in 
cultivation and manufacture of tea from its only one garden i.e. 
Diana Tea Estate. Aares Group took over Diana Tea Estate in 
the year 1976 and elevated its production from a meagre 2.5
 lakh kgs. per annum to a staggering capacity of 10 lakh kgs. 
per annum.The then AARES group Chairman, Late Shri 
Radheshyam Singhania, was a visionary tea lover. He was 
determined to make this loss making garden into one of the 
best gardens in that region and he diligently focused on field
 development and up-gradation of field practices, to make the
 tea estate as one of the best gardens in Dooars region of West
 Bengal in respect of quality, quantity and best maintained 
garden. Presently the total annual production of Diana Tea
 Estate stands at around 10 Lakh kgs.During the year 2010 
Diana won the prestigious award for manufacturing quality
 C.T.C tea contacted by CII and Diana Tea Garden was selected
 as the ""queen of Dooars"" amongst more than 150 tea gardens
 of Dooars and Terai.","""Sir RNM House"", 4th floor, 3/B, Lal Bazar 
Street, Kolkata, West Bengal 700001", 033 2248 8672,No reviews,,
