S. No.,Category Name,URL if available,Description(Minimum 80 words),Reviews,Rating,Images
,,,,,,
1,Kite Festival Jaipur,,"Jaipur is the land of fairs and festivals. Always dipped in the colours of festival, this place enchants anyone who experiences the glory of fests. Festival of every religion is celebrated with same zeal and gusto. Each festival has its importance, be it welcoming a season, bidding adieu to a season, wishing long life and good health of the spouse, praise the Lord, worship trees and animals in the form of God. These festivals are integral part of the lives of people of Jaipur. One can not only feel the liveliness of people during these festivals, but can even get a wide exposure of culture of Rajasthan. These fairs and festival offer you with a holistic view of the heritage and art of Rajasthan. A prominent one out of the festivals of Rajasthan is the Kite Festival. Certainly, it's a festival that is unique in its own way. The colourful kites hovering over whole of Rajasthan brighten up the skies. This festival is largely celebrated in Jaipur and Jodhpur. The kites-with-lights flown add to the fancy of the festival. If you like kite flying, this is the festival for you. How about visiting Jaipur during this festival? Know more about this festival before you catch up with the delight of this festival in Jaipur.",1. Kite festival is very entertaining festival..fly a kite and cut the another person's kite ..we enjoying this event.thanks jaipur,5,
,,,,2 any age group enjoy with this festival .,4,
,,,,3. It is danger for  the birds life.,5,
,,,,4. Children run through the streets with their colourful kites and work at freeing them from trees and poles.,3,
,,,,"5 The main event takes place at Chaugan Stadium in the centre of the old city. Hundreds of people gather to fly their kites on the grassy lawn.""aae vo vo kata """,5,
,,,,,,
2,Taj Mahotsav,http://www.tajmahotsav.org/,"Taj Mahotsav, one of the most eagerly awaited festivals, is celebrated from 18th  to 27th February this year at Shilpgram near the Eastern gate of  ""Taj Mahal""

This 10 days long carnival is actually a vibrant platform that gives you information of India where you can find India’s rich arts, crafts, cultures, cuisine, dance and music. Taj Mahal is the most beautiful historical place of India which tells about incredible India. Taj Mahotsav is organized by UP Tourism and it is a source to increase Indian Tourism.Agra, a city on the bank of River Yamuna, finds mention in the epic Mahabharatha as Agravan. Ptolemy, the famous 2nd centaury geographer, marked it  Agra on the world map . It is generally accepted that Sultan Sikandar Lodi, the ruler of Delhi Sultanate founded it in the year 1504 but the golden age of the city began with Mughals after 1526. It was then known as Akbarabad and remained the Capital of the Mughal empire under Emperor Akbar, Jahangir and Shah Jahan. Agra's significance as a political centre ended with the transfer of the capital to Delhi by Shah Jahan, but its architectural wealth has secured it a place on the International map.","1. It is not spectacular. There are stalls selling different items and food stalls.

In evening there are performances by popular bollywood artists but seats mostly occupied by high govt.",5,
,,,,2. It is supposed to be a handicraft fair but every year unfortunately it turns into a food fair.......gets very crowded.....not recommended for visiting.,4,
,,,,3.may be locals are bored of it. but it's good fun for foreign tourist.,4,
,,,,4. some great handicraft you can find at one place from all over india.at gud price.,4,
,,,,"5. By this Mahotsav , we will show our hand made item , indian art  etc for indian and foreigns. entry is free for foreighners..",5,
,,,,,,
3,Rath Yatra puri,http://www.rathyatra.org/,"The most awaited festival of Rath Yatra or Car Festival Puri commences on the 06th July, Wednesday and Return Car Festival or' Bahuda Jatra' falls on 14th July this year. rathyatra Also known as Chariot Festival or Car festival, this is one of the most awaited Hindu festivals of the state as well as the country. The celebration of this day starts much earlier that comprises the construction and decoration of the Raths or Chariot by numerous devotees & volunteers. The three chariots that are the highlights of the entire Yatra are pulled by strings. The chariot of Lord Jagannath which is 45.6 feet high, high comprises 18 wheels and is referred as Nandighosa. Balabhadra’s chariot is made 45 feet high with 16 wheels is called Taladhvaja. The chariot of Subhadra known as Devadalana has 14 wheels and is 44.6 feet high. All these chariots are decorated with various designs and colors by the artists of Puri that showcases their enthusiasm for the Yatra. The famous festival that is celebrated usually in the month of June or July commences when the chariots of Lord Jagannath accompanied by his elder brother Balabhadra and sister Devi Subhadra are brought out on to the Main Street of Puri known as Bada Danda. The Chariots are then taken to the Shri Gundicha Temple to their aunt’s house where the deities enjoy a nine days stay and are served with sweet pancakes.

Chhera pahara is the most famous ritual associated with the Jagannath Puri Rath Yatra 2016. During the festival, the Gajapati King sweeps all around the deities and chariots. He then cleanses the road with a broom (gold-handled) and sprinkles sandalwood water and powder. The custom showcases that in the eyes of Lord Jagannath every devotee is equal be it the king or a commoner. This ritual is held on two days, firstly on the Rath Yatra Puri when the three deities goes to their aunt’s house and lastly on the day when they are ceremoniously brought back to the Puri Temple.","1. A family time, a must needed break and a place and the perfect time to feel yourself with the positivity around you. The time when you cannot deny the presence of a spiritual power above you. A must visit to see the generosity of Human Kind.",4,
,,,,"2. This important Hindu religious event is performed every year during July all over the India especially in the eastern part. Ratha Jatra at Puri is world famous , when 10 - 12 lac of pilgrims visit Puri to witness this holy event .",4,
,,,,,,
4,GLOBAL ART FAIR MUMBAI,,"The third edition of Global Art Fair is a big fair of contemporary art showcasing fine art, sculptor and fashion design. Around 200 artists from different parts of India will be part of this event and 1000 artworks will be on display. Many renowned artists like Satish Gujral, Samir Mondal, Suhas Roy, Vijender Sharma, Niladri Paul, Asit Patnaik, Vaikuntham, Seema Kohli, Yashwant Shirwadkar, Naina Kanodia, Sanjay Kumar are displaying their works in the GAF 2016. ","1. They should change the name to ""GLOBAL Art Fair."". Lots of nice pieces but very few things in the truly affordable range.",2,
