S. No.,Category Name,Description(Minimum 80 words),contact(Multiple If available),Reviews,Rating,Images
1,Narendra Modi:,"After putting Gujarat on the world map, Modi built his pan-India appeal and created an image of a decisive leader and an entrepreneur who can pull the nation out of economic woes. The 15th Prime Minister of India is also the second most-followed leader in the world with over six million followers on Twitter. The social media-savvy politician became the first to interact with citizens through live chat on the internet. Ranked as the 15th most powerful person in the world by the Forbes magazine, the ‘Development Man of India’ has already created a compelling case for the global companies to come and invest in India.",,"1. Only person who can change India.Simple,Modest,Hardworking,Love for India.What else we want from a Nationalist.",5,
,,,,"2. This blog gives details of all the good-work that Modi government has done up till now. Modi Government Masterstrokes

There is no denial that there are some drawbacks in the current government policies, but we must understand that achieving perfection is no easy task!
No one is perfect!

This government is far better than the other alternatives that we have got.

Instead, we must all try to contribute in our own way towards the betterment of the nation. ",4,
,,,,"3. As far as Urban India is concerned, he'll be the PM of India for atleast the next term... But he didn't start doing much (practically implementing) for Rural India... But we hope that'll happen in the coming years... Revival of PSU's,  railways for the North East, orop scheme, social security schemes, Jan dhan yojana, educating girls scheme, digital India scheme, Make in India scheme...  People believe in him... People are impatient to see changes... But it's enjoyable to see a man who's more impatient than the people... Is he God's gift to India?? Love it, Modi Ji... Any stringent measures of him, may have raised strong opposition... But at the end, modi wins out, as those stringent measures (electricity board of Gujarat) turned out to be sizzling victory over the opposition...",5,
,,,,4. MODI: Master Of Development in India.,5,
,,,,"5. Great Start!!!
Hope he continues the good work.",5,
,,,,,,
2,Kailash Satyarthi:,"A devout campaigner against child labour, Kailash Sharma or Satyarthi (bearer of truth) is only the second Indian winner of the Nobel Peace Prize after Mother Teresa. The founder of the Bachpan Bachao Andolan (Save the Childhood Movement), Satyarthi started working as a child rights activist when the country did not have many. He has directly contributed towards protecting the rights of more than 83,000 children from 144 countries. Satyarthi has been the subject of many a documentaries, talk shows, and awareness films.",,1. Kailash Satyarthi gave up his career an an engineer to do selfless service to humanity saving children.,5,
,,,,"2. Beautiful work from Kailash, right from the heart. May each of us have the inspiration and motivation to at least help one child gain his or her freedom and education",5,
,,,,"3. Kailash on the other hand never got side tracked. He had a simple mission, and he persevered.",4,
,,,,4. People like Kailash are the true heroes of India.,4,
,,,,"5.In almost every way, Kailash Satyarthi is an unlikely Nobel laureate.",3,
,,,,,,
