S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
1,Sunteck Realty,http://www.sunteckindia.com/,"Sunteck Realty Ltd (SRL) is a Mumbai-based real estate development company, catering to the ultra-luxury and luxury residential segment. SRL boasts of a city centric development portfolio of about 25 million square feet spread across 24 projects at various stages of development and four rented assets. Of the said portfolio, the company within a span of four years has completed 6 projects with a developed area of about 2 million square feet comprising of residential and commercial developments. 72 per cent of the development is residential and balance 28 per cent commercial and retail. Some of the ultra luxury projects in Mumbai include the Signia Isles, Signia Pearl, and Signature Island located in Bandra Kurla Complex region located in the centre of Mumbai.","5th Floor, Sunteck Centre, 37-40, Subhash Road, Vile Parle (E), Mumbai, MH 400057",022 4287 7800,1. This was one of the most renowned and good builder in our area. So we had decided him to give the contract of our building renovation six years back. The builder charged too much for renovation and way he implemented it was not good. But we don’t have other option and given him the contract,3,
,,,,,,"2. Its 7 years since the project is be developed, and is awarded the project of the year by Accommodations times. However there is no sight of possession. In fact this is one of builder in Mumbai not delivered a single project.",3,
,,,,,,3.  It has lavish yet thoughtfully designed residences,4,
,,,,,,4. finishing of the apartment is not good according to brand value,3,
,,,,,,5. The work is at halt for a full month sometimes. Also we had asked to increase the speed and also to change the implemention he then replied rudely and many times he ignored. I suggest not to give any project to this builder because of his slow work.,,
,,,,,,,,
2,Housing Development & Infrastructure Limited,http://www.hdil.in,"Housing Development & Infrastructure Limited (HDIL) has established itself as one of India’s premier real estate development companies, with significant operations in the Mumbai Metropolitan Region. HDIL is a public listed real estate company in India with shares traded on the BSE & NSE Stock Exchanges. HDIL group has completed more than 100 million square feet of construction in all verticals of real estate in last one decade.
HDIL caters to a diverse set of customers and this is reflected in its portfolio which features premium commercial projects, townships for housing India's middle class families and affordable housing for the bottom of the pyramid. With operations spanning every aspect of the real estate business, from residential, commercial and retail projects, to slum rehabilitation to land development; HDIL has also diversified into energy, hospitality and the development of SEZs. HDIL has recently diversified into leisure (HDIL Leisures) and multiplexes (HDIL Entertainment) and both businesses benefit from HDIL's expertise in real estate.","HDIL Towers, 9th Floor Anant Kanekar Marg, Station Road Bandra (E) Mumbai 400 051",22 67888000,1. I have bought 3 bhk flat from HDIL .such a wonderful house .,4,
,,,,,,2. Housing Development provide world class facilities . i bought 2 bhk house .good job HDIL.,3,
,,,,,,3. Dont waste your time .Big name but service zero .Hopeless customer services with an attitude.,3,
,,,,,,,,
3,SRS Real Infrastructure Ltd,http://www.srsparivar.com/realinfra/,"SRS Real Infrastructure Ltd is a 100 per cent subsidiary of the SRS Group and is listed under the Bombay Stock Exchange. The company is engaged in the development and construction of over a dozen projects in the residential and commercial genres. With a land bank of approximately 500 acres, the real estate operations are spread across Faridabad, Greater Faridabad, Palwal, Rewari, Kurukshetra, Panchkula and Karjat (Mumbai). The Company became a listed entity in 1995, and in 2011, debuted on the Bombay Stock Exchange as well.
The company is currently handling projects in residencies, group housing, townships, plotted colonies, farm houses, corporate Tower, IT Park, hotels and motels.","SRS Tower, 721, 722, 727, 7th Floor, 
Near Metro Station Mewla Maharajpur,
G.T. Road, Faridabad (NCR Delhi)-121003 ","T: 0129-4323100,
 F: 0129-4323195",,,
,,,,,,,,
4,Kolte-Patil Developers Ltd,http://www.koltepatil.com/about-us/company-profile,"Founded 2 decades ago, Kolte-Patil Developers Ltd is one of the foremost real estate companies which is headquartered in Pune. Listed on NSE and BSE Kolte-Patil is Pune's largest developer and has completed 10 million square feet (sq. ft.) of landmark developments in Pune and Bengaluru. It is also present in Mumbai with some upscale redevelopment projects.
Headed by a team of visionaries and dynamic leaders, Kolte-Patil has till date built projects in multiple segments such as residential, commercial, retail, IT parks, and integrated townships. The long standing mission of the company is to dedicate itself to create spaces that blend in with the surroundings and exude vitality and aesthetic appeal, making the spaces present-perfect and future-proof. The core values of the company honesty, innovation, excellence eco-friendliness, technology, sustainability, value and commitment to time schedules are perfectly aligned with the living and working spaces it builds.","Address: 201, City Point, Dhole Patil Road, Pune - 411001.","020-66226500,
 66226501","1. Today I will be share my experience be proudly and and be happly about Kolte Patil Devlopers  construction company. I am residence of life republic scheme in Marunji. Kolte Patil Developers is a trusted real estate brand & well known builder in pune city. they are continue to build bigger and better projects that are sure to become the land mark of the skuline of pune city.

Kolte Patil Developers mens no doubt that they deliver outstanding construction quality with the most modern design so that why undoubtedly there are very less customer complaints.

about construction my experience is very good quality of construction better than other builder, they provide almost best amenity for each n every project.also painting quality is very good. sufficient kitchen area, and most imp point they are provide as per Vastu Shastra construction.",4,
,,,,,,"2. I have 6 reasone why dont trust on them 1) They will approach you for the movements however the whole changed for this is not reasonable.2) Customer thought is dishonorable. Generally they never attempt to reply, if you are lucky, you will get reply after long holding up or reminding them.3) They outsourced their heaps of work to different authoritative specialist. Their brief specialists don't talk really when you interface with them, if you did a couple changes to your level. In light of nonattendance of correspondence in these brief specialists they needs to do reworks(break a things and revamp them).4) Parking task is not clear in the wake of taking possession as well.5) Some basic things are not provided(like mosquitoes track for windows and Grill for Windows/Dry Balcony).6) Electricity centers are not sufficient moreover the power work quality is terrible. How they break the divider instead of setting cuts into divider with cutter machine. thankful to you.",1,
,,,,,,"3. This is a standout amongst the most quickest developing manufacturer in pune and give extraordinary quality home to all sort of family . all are fulfilled by their administration .kolte patil is one of the trusted gathering in pune .they give great quality support of their costomer. likewise they offers opportunity to specialist to begin their vocation with their gathering . all are fulfilled and feeling pleased to be a piece of this organization. they had great staff, sevice, maintainance and all other thing which requaired to trust.",4,
,,,,,,,,
5,Puravankara,http://www.puravankara.com/,"Since its inception in 1975, Puravankara has believed that there is only one mantra for success: Quality. This credo combined with uncompromising values, customer-centricity, robust engineering, and transparency in business operations, has placed it among the ‘most preferred’ real estate brands in both residential and commercial segments.
Puravankara has grown from strength to strength, having successfully completed 48 residential and 2 commercial projects spanning 23.54 million square feet. Currently, it has 24.87 million square feet of projects under development, with an additional 22.73 million square feet in projected development.
Puravankara commenced operations in Mumbai and has established significant presence in the metropolitan cities of Bangalore, Kochi, Chennai, Coimbatore, Hyderabad, Mysore and overseas in Dubai, Colombo and Saudi-Arabia.","Puravankara Projects Limited.
#130/1, Ulsoor Road,
Bengaluru,Karnataka
- 560 042","080-67724001 /
 667724002","1. Puravanka Projects Ltd is wonderfull company with highly settled management.Very good management system.
Dont join in Accounts & Finance department .Because Puravankara is paying lowest salary in this department.So if anybody is going for interview please remember this review.",4,
,,,,,,2. It was nice experience and everyday there is new thing to learn. Learned how to face the client and resolve their queries.,1,
,,,,,,"3. To start of with,as an trainee engineer i was supported by few of the experienced engineers at site so that i can revise what i have learned in books and execute it practically .As few days passed with the training process i was assigned a part of the whole area to look after,then the actual potential of me has come to testing.I actively and intellectually responded to problems at site and also helped the fellow engineers for the work progress.The atmosphere at work place is too good with fellow workers helping each other for productive result.Most enjoyable part of my job is that ,its challenging both mentally and physically.Finally learned many things conceptually and experienced practically what is seen in books.",4,
,,,,,,"4. The growth in this organization is bit slow, if you will start your career as fresher very tuff to get promotion and growth.",3,
,,,,,,,,
6,The Prestige Group, http://www.prestigeconstructions.com/,"The Prestige Group owes its origin to Mr Razack Sattar, who envisioned a success story waiting to take shape in the Retail Business in 1956 itself. Since its formation in 1986, Prestige Estates Projects has grown swiftly to become one of South India's leading Property Developers, helping shape the skyline across the Residential, Commercial, Retail, Leisure & Hospitality sectors.
Prestige Court on K.H. Road in Bengaluru set the pace for the Group's rapid growth which now stands at over 183 completed projects spanning a total developed area of over 60.08 million sqft. It also has another 59 ongoing projects comprising around 60.10 million sqft and 29 upcoming projects totalling 30.95 million sqft, which include Apartment Enclaves, Shopping Malls and Corporate Structures, spread across all asset classes.
Prestige Constructions, an ISO 9001:2000 certified company is the only real estate developer in Bengaluru to have won the reputed FIABCI Award for its software and residential facilities. Prestige was also recently awarded the Crisil DA1 Developer Rating in recognition of the quality of their projects and the ability to deliver completed projects in a timely manner, making them the ONLY Property Developer across India to have received this distinction.
Today, Prestige stands as a giant and with aggressive growth plans across the residential, commercial, retail and hospitality sectors in Bengaluru, Goa, Hyderabad, Mangalore, Cochin and Chennai, lies a bright future ahead!","The Falcon House, No. 1, 
Main Guard Cross Road,
Bangalore - 560 001",80 25591080,"1. working at prestige group will allow you to learn a complete knowledge about Real estate, but very hard to survive there with out a proper work outs.",4,
,,,,,,2. i just started my carrier were prestige my project manager gave good confident and good environment to work. my team was so simply awesome . when were started my carrier my 1st hard part of job is climate condition of course every fresh civil engineer will get this problem. my enjoyable part of job is truly tell all things because when i were i willing to learn all things .,4,
,,,,,,"3. Learnt lot of things from prestige group
Nice co-workers
Management supported through out my career
Didn't even found any hardest job because of my management",5,
