S. No.,Category Name,URL if available,Description(Minimum 80 words),location,Reviews,Rating,Images
1,Vaishno Devi -Jammu,,"The holiest Hindu temples dedicated to adi Shakti, situated in the hills of Katra in Jammu and Kashmir. Vaishno Devi temple is second most visited religious place in India after the world famous Tirumala Venkateswara Temple. Maa Vaishno Devi shrine also known as Mata Rani is located at an altitude of 5300 feet is a manifestation of the Mother Goddess Durga.","Katra, Jammu and Kashmir 182301","1. Very good temple and fun place for little ones enjoying the caves and water flowing beneath amazing veiw.
This temple is situated in lal Bhawan, rani Ka Bagh, amritsar. and this mandir mata lal devi temple is alos known as Vaishno Devi Temple and this temple is free to all.

Must visit and will find replica of Original Mata Vaishnodevi Temple Katra.
",4,
,,,,,"2.  We were got to this temple by our taxi driver. We went in with zero expectations as we thought it was just another temple. 

Its interesting coz they have managed to house all the possible Hindu Gods in one roof and keeping in mind to replicate the shrines as per the originals across the country. Its worth a visit.
",4,
,,,,,"3. One of the important places to visit in Amritsar after Golden temple, temple was full of devotees round the clock and you got feeling similar to vaishno devi temple.
This place looks small on the outside but once you go inside (especially the upstairs), you will be amazed by the number of rooms & deities. A lot of deities are depicted using beautiful & colorful stained glass on the wall. You also have to crawl through a short cave and walk through a room with ankle deep water to add to a little bit of adventure. But to contrast that, there is also a great sense 
of peace and tranquility in the temple. Definitely a must see
",5,
,,,,,4.  An excellent concept and architecture of human creation. On visiting the place u will feel as u r at Original place of worship of Mataji. Location is excellent and hopi place to visits with family,4,
,,,,,5.A lot to bend so not for the old age people and a bit difficult with kids,4,
,,,,,,,
2,Tirumala Venkateswara -Tirupati,,"The world famous Tirumala Venkateswara Temple or Tirupati Balaji is a Hindu temple dedicated to god Vishnu. Tirupati Balaji temple is the richest pilgrimage center in India followed by Sree Padmanabhaswamy Temple,Vaishno Devi and Shirdi Sai Baba. Brahmotsavam festival is best time to visit Lord Venkateswara Temple, the celebration attracts pilgrims from all over the world.","S Mada St, Tirumala, Tirupati, Andhra Pradesh 517504",1. This is one of the well maintained Lord Venkateswara temple in Bangalore. and you can sit in front of the Lord Venkateswara statue and pray peacefully here.and you feel that you are in Tirumala.,4,
,,,,,"2. Amazingly well maintained Temple, has temples of hanuman, ganesh, Sheesha, Govind raja Swamy, Narshimha Swamy, Laxmi and Sri Venkateshwara Swamy. They perform Monthly Abhishekam, which I recommended one to attend. A divine feel. 

They also perform Kalyanaotsavam, marriages and Anna Danam.
",4,
,,,,,3. I've been a regular visitor of this Temple since 2001. I have seen the temple growing step by step under excellent stewardship of TTD. I feel complete peace in this divine temple.,3,
,,,,,"4. I am a regular visitor to this temple. Sitting in front of the Lord Venkateshwara, I always felt I am at Tirupathi. This not of religious exaggeration. Whether you call it the beauty and majesty of the statue or spiritual vibration of the place.

",3,
,,,,,"5. For non religious, this place may not appeal much....It is run by Tamil Iyengar priest in full tradition.",2,
,,,,,,,
3,Siddhivinayak -Mumbai,www.siddhivinayak.org,"The Siddhivinayak temple is dedicated to Lord Shri Ganesh 
or the elephant god,located in the capital of Maharashtra, Mumbai. Shree Siddhivinayak Ganapati Mandir is the richest temples in Mumbai and one of the in Maharashtra, other are famous Dagdusheth Ganpati Pune,Mahalakshmi Temple of Kolhapur and Shirdi wale Sai Baba.","S.K.Bole Marg, Prabhadevi, Mumbai, Maharashtra 400028","1.  Its a decent place to go out wid family & friends ... Taste is good   pleasant ambience  service is quick Rate is reasonable  
For a change one must try but u get same taste evey time...",2,
,,,,,"2.  A decent hotel with thali system. Food quality is OK when compared with the price. Dahiwada is just unmatchable. Overall, a good experience.",3,
,,,,,3.  Not good place.. Not giving answers properly. I am not sure of there attitude. Hope less person on the phone who is attending.  Bad experinece ,1,
,,,,,"4.  Too crowded on Sunday's and चतुर्थी. Wait time can be between 30-45 mins. And I am not convinced it's worth it. Food (set menu) is okay. Basundi is very good, aloo bhaji, dahi vada is good. Masale bhaat, fruit salad could have been better. ",3,
,,,,,,,
4,Sree Ayyappa -Sabarimala,,Sri Lord Ayyappa swami Temple of Sabarimala is located in Sahyadri mountain ranges or Western Ghats in Pathanamthitta District of Kerala. The Sabarimala temple is dedicated to Hindu God Ayyappan and the largest annual pilgrimage in world. Sabarimala Sree Ayyappa Temple is situated on a hilltop of Sahyadris ranges at an altitude of 468 m (1535 ft) and surrounded by dense forests and mountains hills.,"Near Ayyappa Temple, Sector V-D,, Bokaro Steel City, Jharkhand 827006","1. As we entered this temple, feels like as we are in Kerala - That's how they built this temple for Lord Ayyappan. Situated in the main part of the city, this temple is very beautiful and well-organised. Always crowded, but worth visiting. Parking and traffic is the main problem here.

",4,
,,,,,"2. 1 Fully Keralized temple
2 when we enter the temple, we will get a feeling that we have entered kerala
3 just 1 kilometre from gandhipuram bus station, that means the heart and most crowded part of the city
",3,
,,,,,"3. Nice temple, but the surroundings are very noisy if you wish to spend a few miutes praying in peace, forget it. Structure is awesome",3,
,,,,,"4. The holy Ayyappan temple is revered by both the locals and tourists. The magnificent temple was constructed in 1976 by the Sri Dharma Sastha Baktha Jana Sabha which was similar to the Ayyappan temple in
",3,
,,,,,"5. There are more places to visit in coimbatore and you can just skip this as there is no special about this temple.A very ordinary temple in the busiest area of coimbatore,Instead you can visit Marudamalai or echchanari temple.
",4,
,,,,,,,
5,Khwaja Moinuddin Chishti -Ajmer,,Khwaja Moinuddin Chishti was the most famous Sufi saint in Indian Subcontinent. The dargah of Moinuddin Chishti is situated in Ajmer and visited by Muslim pilgrims as well as Hindus and Sikhs. Dargah of Moinuddin Chishti is one of the major religious site in India.,"Khadim Mohalla, Diggi Bazaar, Ajmer, Rajasthan 305001","1. I heard much about Ajmer Sharif Dargah (Shrine) of the Sufi Saint Khwaja Moinuddin Chisti. So finally was happy to visit and offer a prayer here. Ajmer is mainly popular for this famous Shrine. All religious minded peoples are allowed to come to fulfill their wish to be granted by the Almighty...
Here if you wish can contribute any amounts for the well being of this Dargah by the name of God. This place is very crowdy and you must have to be careful about pickpocketing...
I really disliked the auto fare business culture among the drivers in Ajmer, while coming to Dargah. They ask more charges and try to manipulate tourists over there.
",4,
,,,,,"2. Although an overcrowded, full of beggars and located on an odd place, one will always remember the dargah shariff for the purity and sacredness you feel inside. It is true that the management should work better on managing the crowd. It can be much better and well organized place.
",3,
,,,,,"3. I don't know what it is but there is a strong spiritual power here. It is mostly very crowded however so be careful of your purse, etc. I was robbed of my purse once without the slightest movement.",3,
,,,,,"4. Very respected place for worship for all religious faiths... always very crowed with hundreds of people....
Must visit place when you're in Ajmer.",4,
,,,,,,,
6,Harmandir Sahib -Amritsar,,"The golden temple or Harmandir Sahib is a prominent 
Gurdwara and one of the historical heritage monuments of India, located in Amritsar city of, Punjab. Sri Harmandir Sahib is holiest place for Sikhs, surrounded by a beautiful lake and four doors. Vaisakhi,the most important festivals of Punajb is best time to explore the culture and tradition of great Punjab.","Golden Temple Rd, Amritsar, Punjab 143006",1. It's very beautiful and peaceful place. Preparations for big day going on.. worth visiting.. don't miss the yummy parsed..,5,
,,,,,2. A Very Beautiful Old temple(Gurudawara) of 10th Guru of Sikhs Guru Govind Singh Ji. A Famous Name people called Patna Sahib. Very beautiful Architect. Once People come in Patna they almost try to visit Patna Sahib its Located in Old Patna City. Once you come here you feel very Peace. Also try Langar Prasad which is very Testy & Delicious. ,4,
,,,,,"3. The place is a highly reverred place of Sikh religion.It offers free food to all irrespective of caste,creed or religion.Gives inner solace to the devotees. ",3,
,,,,,"4. This is located in the older part of the city and may take 2-3 hours to reach there if you get caught in traffic. Once you are there you will like the place, its very nice and peaceful, with good food in the langar. It has historic importance for Sikhs and others as well.",4,
,,,,,,,
7,Basilica of Bom Jesus -Goa,,The Basilica of Bom Jesus church is one of the UNESCO World Heritage Site located in old Goa. Basilica of Bom Jesus is India’s first minor basilica and the most popular church in India and a landmark in the history of Christianity. This world heritage monument is one of the oldest churches in India as well as in Goa.,"Old Goa Rd, Bainguinim, Goa 403402",1. Twelwe apostles sculpted by Baroque master Aleijadinho make this church a must for any art lover! As usual in Brazil you have to pay to see the inside and a very strict ban is enforced on taking pictures. The stated reason: visitors help maintain this Unesco site. A plaque outside states that a complete restoration was conducted and paid for..,4,
,,,,,2. the statues are fine but nothing more to see. There is not much to see for 60 minutes trip... you can fine better places around,2,
,,,,,,,
8,Sai Baba -Shirdi,,"The most popular Sai Baba of Shirdi located at Shirdi town in Maharashtra. Shirdi Sai temple is a most beautiful shrine built over the Samadhi of Shri Sai Baba. Sai Baba is a very popular saint worshiped by people of Hindu,Zoroastrian and Muslim all around the world.","Shirdi, Maharashtra",1. The room I stayed was clean and above average. Good for solo and male travelers who are looking for a budget hotel. Located in a busy and noisy street but easy access to most tourist locations in Pondicherry.,4,
