S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
1,Balajee Sewa Sansthan,www.bssindia.net,"Balajee Sewa Sansthan is a registered NGO that currently operates in the state of Uttrakhand and Bihar, with the Head Office in Dehradun, Uttrakhand. Plus, we have several branch offices in both these States.

As our name suggests, we consider it a privilege to be able to do “Sewa”, to serve our fellow human – beings with the utmost dedication and compassion. We believe that every life has equal value and an equal right to live with dignity.","127, Subhash Nagar,
Near Chandrbani Chowk, Pashu Chikitsalay,
Saharanpur Road, Dehradun - 248001,
India",0135-6457779,1.The idea to promote tourism is to develop rural parts of Uttarakhand and provide employment to the local residents and in the process introduce touristers to the immaculate beauty in this Himalyan region.,4,
,,,,,,2. Supplementary Education-Balajee Sewa Sansthan along with its partner organization is working on supplementary education & skill development for underprivileged youth belonging to lower strata of society. Well work.,5,
,,,,,,"3. this is also works for AIDS and HIV ,good services.",4,
,,,,,,"4. this ngo is working different different field not focus on a special task,doubt on quality.",3,
,,,,,,5. Microfinance & Financial Literacy for poor people . good job,4,
2,Aadarsh Gramin Swarajya Sansthan,,"AADARSH GRAMIN SWARAJYA SANSTHAN is located in Chainpur 
Jharkhand . AADARSH GRAMIN SWARAJYA SANSTHAN is registered 
as a Society at DALTONGANJ of state Jharkhand with Ngo unique 
registration ID 'JH/2014/0083748' . The NGO registration is done by
 Registrar of Societies with registration number 842/2011-12 on the date 
of 2011 November 25th Fri , Its parent ORganaisation is PaulFoundation. 
TheChairman of AADARSH GRAMIN SWARAJYA SANSTHAN is ARUN 
KUMAR GUPTA and Chief functionary officer is GANESH kUMAR. 
Promoters are RAJESH PARSAD, PANKAJ KUMAR, PINKI KUMARI,
AMRENDRA KUMAR.This AADARSH GRAMIN SWARAJYA SANSTHAN 
NGO charity is working on Key Issues of Animal Husbandry, Dairying & 
Fisheries, Agriculture, Art & Culture, Biotechnology, Children, Disaster 
Management, Drinking Water, Education & Literacy, Environment &
 Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, 
Human Rights, Information & Communication Technology, Legal 
Awareness & Aid, Labour & Employment, Land Resources, Micro 
Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises, 
New & Renewable Energy, Nutrition, Panchayati Raj, Right to 
Information & Advocacy","Aadarsh Gramin  Swarajya  Sansthan AT- 
Chainpur Po+Ps- Chainpur Dist-Palamau 
(Jharkhand) Pin- 822110",,"1.AGS SANSTHAN s mission is to reach out, through such governance, to everyone in society and to ease their participation in the governance process

",5,
,,,,,,"2. this is works for farmer and agriculuture,good services.",4,
,,,,,,3 It is good to have social work where i get peace of mind by serving poor and needy people in their need.,4,
,,,,,,4. Advice to management Dont waste career of young girls for ur needs.,3,
,,,,,,"5 good work for MSME funding for young business persons, nice job.",4,
,,,,,,,,
