S. No.,Category Name,URL if available,Description(Minimum 80 words),Location,Contact,Reviews,Rating,Images
1,Sigiriya Sri Lanka,,"Sigiriya, meaning ‘lion rock’ in Sinhalese, is an ancient rock fortress 
and palace surrounded by jungle in central Sri Lanka. Rising from the 
central plains, Sigiriya is one of Sri Lanka's most iconic sights with 
practically vertical cliff walls topped by a perfectly flat summit where 
the ancient ruins of a Kassapa city still stand. Reached by a vertigo
-inducing staircase that winds its way up the rock you'll be rewarded 
with stunning views. The entrance to the tip of the palace was
 designed in the shape of a lion’s mouth, hence its name.","Sigiriya, Sri Lanka",94 662231815,"1. Wonderful view both from the top and the bottom.  It is pretty 
expensive for tourists, but still a must have. The paintings are 
great, the bees might be a little problem. Very nice!",5,
,,,,,,"2. Five star place,must go place in Sri Lanka. Big Historical site. 
Be careful the stairs. Great view when you arrive the top palace 
site. Can't imagine the king built such a palace on the top of the 
rock. And this place sleep thousands years then found by a 
British guy. Amazing.keep power to climb.",4,
,,,"
",,,"3.I think this place is overpriced for the foreigners. The ticket price
 for foreigners is US $30. It is just a huge rock. Try to avoid tour 
guide. They will ask 2000 sri lankan ruppies and you don't need
a guide. ",1,
,,,,,,"4. One of historical place in Sri Lanka .it is worth to see.the 8th 
world wonder..😃😃",5,
,,,,,,,,
2,Kerala Backwaters,,"The Kerala backwaters are a chain of brackish lagoons and lakes 
lying parallel to the Arabian Sea coast (known as the Malabar Coast) 
of Kerala state in southern India. The network includes five large lakes
 linked by canals, both manmade and natural, fed by 38 rivers, and 
extending virtually half the length of Kerala state. The backwaters were 
formed by the action of waves and shore currents creating low barrier 
islands across the mouths of the many rivers flowing down from the 
Western Ghats range.","Kerala, India 688006, India",,"1. Cruising the backwaters on a shikara was quite an experience
 for us. Once you are out in the vast open and see the views, you 
thank yourself that you made this trip and Alapuzzha doesn't 
disappoint in this respect, to say the least. Admittedly, the anchor 
area of boats is moss-infested and smelly, but the beautiful
 scenery with swaying coconut trees and green views from the 
waters are a visual treat. Must experience once. ",4,
,,,,,,"2. We booked a Houseboat tour from company AMRUTHAM 
HOUSEBOAT and it was really excellent in all terms. We 
celebrated our Honeymoon in Lake. Boat was specially for us 
with a top deck. All meals freshly done for us hot from kitchen. 
Stay in a Kerala boat is the best way to enjoy the nature I think. ",5,
,,,,,,"3. Excellent views during the trip. Slowly drifting by people's 
homes. They have boats instead of buses and scooters. 
Houseboat interesting mode of transport. In the evening a lot 
of mosquitoes ",5,
,,,,,,"4. Go with Spice Coast Cruises on the most authentic rice boats
 on the backwaters. The staff will take you on a wonderful trip 
round the backwaters. The air conditioned bedroom is 
comfortable and every meal cooked on board is a delight of 
Keralan cooking. A great way to wind down at the end of an Indian
 touring holiday. ",4,
,,,,,,,,
