S. No.,Category Name,Description(Minimum 80 words),Singer/music Director/Director,Reviews,Rating,Images
1,Saavan,"Saavn is a revolutionary streaming music service reinventing how people listen to and share music, in India and around the world. With a catalog in the millions (and growing by the day), our motto is simple – play what you want, when you want. Best of all, Saavn is unlimited and free on mobile, tablet, and the web. No strings attached. Listen to the latest Bollywood hits, classics, regional music, and even a huge English catalog. Whether it's the artists and actors you love, the latest hits, finding old classics, or making new discoveries, you can stream anything you like on Saavn without the cost of downloads, or the hassle of side-loading pirated music.
From the newest songs to the hard-to-find classics, Saavn's catalog includes millions of songs across Hindi, English1, Tamil, Telugu, Punjabi, Marathi, Bengali, Kannada, Gujarati, Malayalam, and Bhojpuri.",Rishi Malhotra (Co-Founder & CEO) Vinodh Bhat (Co-Founder & President) Paramdeep Singh (Co-Founder & Executive Chairman),"1. Saavan is the best, you guys Rock!!! - this was till about 1 month ago. Now saavan wants $5 per month for average playlist, spotty functionality, and music you can download but not export! In contrast I pay Netflix $9 /month for an amazing collection of movies... Figure out a better pricing model Saavan, or your 18 million subscribers will become 18 thousand!!!",2,
,,,,2.  I have purchased an year long premium subscription and at this point in time i feel my money would have been better spent if I would have fed it to a goat. English music library is garbage. Nothing but the most mainstream music is available. And dont think about downloading more than a 100 songs cause one day the app will crash and you will loose all of it. Swear to god the day spotify comes to india all of these morons are gonna go out of business.,1,
,,,,"3. Its good for listeing songs online and it is quit well organised. But it consist lots of advertisment which is somtimes irritating. Even its downloading function is also not that amazing. But yes, it have a awesome collection of songs as compared to other such apps.",4,
,,,,"4. This is a great music app and the podcasts are also very good, especially Cyrus Says. A problem I am facing is that I am unable to create playlists with my downloaded songs. The app auto-arranges all downloaded songs in alphabetical order and there is no option to edit the order of songs. Thanks for the feature where you can select the quality of the streaming audio. With this, the audio works even on 2G network. I don't think any other podcast or music app provides this option. Overall, great app.",5,
,,,,,,
2,Gaana,"Gaana is the one-stop solution for all your Music needs. Gaana offers you free, unlimited access to all your favorite Hindi Songs, Bollywood Music, Regional Music & Radio Mirchi - on your mobile phone, no matter where you are.
With our plethora of collection from New Songs to Old Classics, Bollywood songs, Indian Regional songs, you can enjoy millions of Hindi, English*, Tamil, Telugu, Marathi, Kannada, Punjabi, Malayalam, Oriya, Rajasthani, Bengali, Assamese & Bhojpuri Songs for free. Download songs of your favourite artists or from popular albums. Browse through our top charts such as Top 50 Bollywood Songs, US Top 50, Punjabi Top 50, Latest Dance Tracks, Bollywood Romance Top 50 & much more.

Also explore new and interesting music depending on your mood or liking through our discover section and listen to curated playlists; Romantic Hits, Sad Songs, Bhangra, Devotional, Rock, Bhajans & Ghazals. You can also play Gaana Online Radio for an endless stream of your favorite genre.

Listen to songs of famous artists like Arijit Sings, Yo Yo Honey Singh, Ankit Tiwari, Atif Aslam, AR Rahman, Baadshah, Benny Dayal, Lata Mangeshkar, Neha Kakkar, Pritam, R D Burman, Shreya Ghoshal, Sunidhi Chauhan and others. You can also browse English tracks of popular artists like Avicii, Eminem, Enrique Iglesias, Bryan Adams, Justin Bieber, Katy Perry, Kesha, Rihanna, Selena Gomez, Taylor Swift and more.",,"1. Destination site for free streaming of music. We do not offer free downloads or downloads of any kind.Downloading from the site is illegal.Download songs from Gaana(dot)com using, IDM software(Internet Download Manager).

Every song you play on website will be downloaded automatically.Yeah you can. But its difficult. Activate the Gaana 14 days trial pack and download all the songs you want from the mobile application. The downloaded songs can only be played in Gaana application which is the problem. To overcome this go to File manager -> Android -> Data -> Gaana. Here you can see the downloaded songs. To play this convert it into mp3 by adding . extension or transfer it into the computer. Voila, free legal music Once a search is done, you will be displayed with many results which are extracted from various free websites. Click on any album or movie to see the downloadable songs, to download your songs select songs you like and click on Download button.

",5,
,,,,"2. You will find almost everything a listener wants which gives it an edge over others.

Like- Exclusive albums, good audio quality

Dislike- Website is bit heavy, User interface can be improved, many new songs not available, lots of ads(if u want ad free experience upgrade to premium packs)

My experience of using this site was good but you need to have a good connection for this. Support team at Gaana was very helpful.",3,
,,,,"3. Revising ratings to reflect continuous improvement in content, quality, UI, speed of download and most importantly acting on feedback. To that effect another feedback: Subscribers are already paying for your content, so instead of caching the files in a hidden folder and using numerological nomenclature why not allow us to carry the music where ever we want with the album artwork and names of songs intact? You may see higher sales! Game?",1,
,,,,"4. Nice collection and hence I paid for full year subscription. I have downloaded many songs. Now if I try to play them the message comes "" unfortunately gaana stopped. Report etc. I sent the report but no use. I deleted the app and downloaded again. The subscription details are intact but downloaded songs vanished . Downloaded second time and same problem. I am fed up. They need to fix this bug urgently.",2,
,,,,,,
3,iTunes,"iTunes is the best way to organise and enjoy the music and movies you already have — and shop for the ones you want to get. It’s home to Apple Music, which gives you unlimited access to millions of songs, curated playlists1 and Beats 1 radio, hosted by Zane Lowe and a team of acclaimed DJs. Enjoy all the entertainment iTunes has to offer on your Mac and PC. Apple Music makes it easier than ever to play the music you love and the music you’ll love next. Choose from millions of songs, including exclusive releases you can’t get anywhere else. Once you sign up for your free, three-month trial,2 you can add all the music you want to the collection you already have, like purchases from the iTunes Store and songs you’ve imported from CDs. So you never have to miss a beat.",,"1. Pros
-organizes music in an easy format (like several other available programs)

Cons
-takes up a lot of space 
-difficult to uninstall

Summary
I expected better.",1,
,,,,"2. Pros
Music organization. Only way (thanks Apple) to load music on my $50 iPod Shuffle.

Cons
Runs like it's built for Windows 95. Automatically sets itself to open on startup with every update. Updates come about once a week. It only updates after a restart. PC restart can take up to 10 minutes. And then you have to go in MSCONFIG to turn iTunes back off. Every, single, time.

Summary
Apple obviously wants you to buy Apple everything. It puts me in awe to see so many falling for it. iTunes works just fine on Apple products, surprise surprise. How this isn't illegal, I have no idea.",1,
,,,,"3. Pros
It manages songs and videos and it plays them properly. You can sync different devices but it's hard to manage multiple devices or multiple computers. I use it fairly often.

Cons
It's not the best. After each new update there are bugs and often they don't fix bugs from the last update. It's pretty glitchy but it works.

Summary
It's okay but it could be a *lot* better.",3,
,,,,"4. Pros
Individual songs are not that expensive.
Easy to use.
Has a wide selection on the store.

Cons
Froze up my computer one time.
Can take a long time to load up.

Summary
What's with all the bad reviews around here?",5,
,,,,,,
4,Red FM,"Red FM is an English radio station with a local flavour that targets listeners aged 25 to 34 years old. The station tackles topics that may not always be comfortable to talk about but needs to be addressed as well as topics that are naughty and cheeky cause who says adults need to be serious all the time. Representing Red FM are announcers who are funny and entertaining like JJ, Jeremy Teo, Kavin Jay, Azura Zainal and Terry Ong.
This is an entertainment radio network broadcasting from India. Red FM is one of the largest networks in India that won several awards. It programming focuses mostly on the best and most popular music hits.",,1. Not find any location from india.....mostly all frequency channels are from thiland side.It's worst install,1,
,,,,"2.  I get to listen my favourite programmes anywhere anytime, WTF, Jeremy, Terry, you're hilariously funny, Kavin and the red rav, news!!! YaaaaaY! Amen! Lol :P You guys are THE Best!!!
",5,
,,,,3. finally i can listen to redfm during my daily lrt commute without interruption ..awesome!,4,
,,,,4. player need try reconnect if disconnect due to network not stable.,4,
,,,,,,
5,wynkmusic,"Wynk Music is a free music download app for every mood!
Wynk Music has over 2.5 million songs across Indian and International music. Enjoy its huge music library covering all genres- Bollywood, Pop, Rock, Bhangra, Devotional, Emotional, Romantic, Party, Old Romantic retro songs. Also, listen to Punjabi songs, Tamil songs & music in other regional languages such as Bhojpuri, Rajasthani, Marathi, Bengali, Kannada, Gujarati, Telugu, & Malayalam. Not to miss, Ghazals & the latest & best of English music is also there for you.

So, whatever is your taste, be it old songs or new songs - find it all here & enjoy free download (for Airtel users). Plus, you can use it as MP3 Music player. It now lets you play music that is saved in your phone memory.

Stream and download unlimited old & new songs from our huge playlists created especially for you. You can even create your own playlist. The catalogue gives you trending songs sung by renowned international artists such as Enrique, Katty Perry, Lady Gaga & others, & famous bollywood singers like Arijit Singh, Yo Yo Honey Singh, Atif Aslam, Shreya Ghoshal, Armaan Malik, Lata Mangeshkar, Badshah, Mohammed Rafi, Mukesh, Kishore Kumar, Sunidhi Chauhan, Sonu Nigam. You can download old and new songs that featured actors like Deepika Padukone, Shahrukh Khan, Ranbir Kapoor, Katrina Kaif, Akshay Kumar, Salman Khan, Varun Dhawan, Priyanka Chopra, Alia Bhatt, Ranveer Singh, Amitabh Bachchan, Hrithik Roshan, Katrina Kaif & many more.",,1.  This app is great with good collection of songs. But all I can see is the list of all songs that I have downloaded. It badly needs a way to sort songs according to the albums to which they belong.,2,
,,,,"2. Hey wynk, i am trying to subscribe and complete payment process but its showing error again and again. Plz fix the error, so tat i can enjoy my music with you.",5,
