S. No.,Category Name,URL if available,Description(Minimum 80 words),location,contact(Multiple If available),Reviews,Rating,Images
1,Hilton Hotel,http://www.hilton.com,"Hilton Hotels & Resorts is Hilton Worldwide's flagship brand and one of the largest hotel brands in the world. The brand is
 targeted at both business and leisure travelers with locations in major city centers, near airports, convention centers, and 
popular vacation destinations around the world Hilton Hotels & Resorts participates in Hilton HHonors, Hilton Worldwide’s 
guest loyalty program. Members who book directly through Hilton-owned channels receive exclusive discounts and amenities 
such as free Wi-Fi, digital check-in, keyless entry, and the ability to select the room they'd like using the Hilton HHonors app.","Golf Course Road, Sector 56, Gurgaon, Haryana 122011",0124 491 1234,"1. A contemporary stay experience with good rooms, good food and hospitable staff. 
There is a restaurant and a bar which can together serve any palette. And any time you 
stay there, don't forget the amazing welcome cookies. ",4,Y
,,,,,,"2. Great infrastructure, very supporting and friendly staff",4,
,,,,,,"3. Very satisfied with the hotel and it's proximity to my client office. Customer service is 
prompt and friendly, the hotel proactively contacted prior to my arrival to see if I needed a 
pickup from the airport. It's a relatively quiet hotel not bursting at the seams with guests, 
which suits me just fine. The executive lounge is now available which is good. The rooms
 are nice and overall I will continue recommend to peers and use for future stays. ",5,
,,,,,,"4. Good exposure , Management development trainings, Good scope to improve 
management skills, Good work ethics",3,
,,,,,,"5. One of the best chain among the hospitality Industry. Professonal managment & 
good policy",3,
,,,,,,,,
2,TAJ HOTELS RESORTS AND PALACES MUMBAI,,"Rooted in history and tradition that deliver truly unforgettable experience, 
 each Taj hotel, resort and palace reflects the tradition of hospitality to create lifelong memories. Awaken your inner self with our award winning,
 all-natural spas rooted in traditional Indian well-being and spirituality. We offer a milieu of old India  therapies and beauty secrets to foster 
harmony and equilibrium within you. These time-tested wellness rituals are now within reach inside the soothing sanctuaries of every Jiva Spa.","Apollo Bunder, Mumbai, Maharashtra 400001",022 6665 3366,"1. One of the best and the biggest hotel of mumbai. Very good service. The food is so tasty.
 So many celebrity come to this hotel. Best security. Best hotel to visit with your friends and family.",5,
,,,,,,"2. Outstanding service and a beautiful place with lots of history on itself. Gorgeous pool area.
 Palace rooms are gorgeous and well equipped.",4,
,,,,,,3. A well mantained high quality rich hotel a pride for mumbai and whole of india.,3,
,,,,,,"4. There no hotel like this in Mumbai, India,Asia,world... Not a singlehotel of world can match
 the luxury of taj mahal hotel...",2,
,,,,,,"5. The Taj Mahal Palace is of course an icon in Mumbai; therefore i had very high expectations 
before i arrived. The building is stunning and it really is a haven of relaxation in the centre of a
 very crowded city.",4,
,,,,,,,,
,,,,,,,,
3,Grand Dragon Ladakh,http://www.thegranddragonladakh.com," Established in the year 2007, The Grand Dragon Ladakh, one of the first luxury hotels in Ladakh, is owned and operated by the Abdu family from Leh, who have more than 40 years of experience welcoming visitors to the beautiful region. It is decorated magnificently with handmade paintings by Gulam Mustafa (First modern Artist of Ladakh) around every corner, and fixtures that are reminiscent of royalty.
The Grand Dragon Ladakh is the first hotel with a host of state of the art amenities, such as electronic key cards for the rooms and a baggage scanner, as well as their own sewage treatment facility. The entire facility is wheelchair accessible, for providing differently abled guests with a comfortable sojourn.The attention to detail offered by the associates, coupled with the magnificent views, will guarantee you take back home sweet memories.","Old Road, Sheynam, Leh Ladakh, Jammu and Kashmir 194101",099069 86782,1. Had a wonderful time at this hotel with all the luxury of best five star.,4,
,,,,,,"2. The grand dragon is a welcoming and very well run luxury
 hotel in the heart of Leh.",4,
,,,,,,"3. The Grand Dragon is quite simply, the most luxurious
 hotel you can find anywhere within Ladakh. But it's not
 just luxury, they do comfortable very well too",4,
,,,,,,"4. Food served was excellent considering both taste and
 quality.Surprised to see such good quality of food in Leh",3,
,,,,,,"5. A top quality hotel; clean rooms, spacious bathroom, 
nice lounge and covered outdoor seating/dining areas 
with great view of nearby mountains.",5,
,,,,,,,,
4,Ladakh Lharisa,http://www.ladakh-lharisa.com/,"India vows of a profusion of scenic beauties, an exuding mishmash of cultures, a variety in climatic conditions - all things that hold fun for a global traveler. In this mesmerizing land, Leh claims a position of distinction. It has been a preferred choice for both adventure junkies and culture aficionados for years. Leh is a land of quaint boulevards, vibrant marketplaces, old-world monasteries, breathtaking Himalayan views and something angelic that only Leh can offer. And what better way to experience Leh than staying at Lha-Ri-Sa!","Skara, Leh, Ladakh, Skara, Leh, Jammu and Kashmir 194101",01982 252 000,"1. I find the only resort with oxygen cylinder at the Reception with Oxymeter.  Some people may have oxygen problem, specially those coming by AIR to Leh.",4,
,,,,,,"2. Very comfortable and within city limits. Rooms are well
 insulated from cold and noise. Food is on the average 
side but service is amazing.",3,
,,,,,,"3.all things that hold fun for a global traveler. In this 
mesmerizing land, Leh claims a position of distinction.
 It has been a preferred choice for both adventure junkies 
and culture aficionados for years.",4,
,,,,,,"4. In Leh, you have many passes (Lha), mountains (Ri) 
and beautiful mother earth in the forms of astonishing 
mountains (Sa) and also you have Lha Ri sa.",,
,,,,,,"5. Lha-Ri-Sa is a very pleasant surprise. Located a little
 away from the main market, it is still just a walk away 
(half-an-hour, at most). For those who aren't in a mood to 
walk, the hotel arranges transport.",4,
,,,,,,,,
5,Royal Heritage Resort,www.royalheritageresortleh.com,"RoyalHeritage resort has developed with a unique concept of providing a serene atomosphere to the visitors; it is situated on the main fort road at a walking distance of 15 minutes from the heart of Leh Town, the centre of modern amenities viz; banks, airline offices, govt Offices, tourist reception centre etc. The locations and landscaping of the resort provides visitors with memorable and breath taking panoramic view of snow covered mountains from amidst greenery of poplar and willow trees/ orchard.","Fort Rd, Leh, Jammu and Kashmir 194101",096978 57450,"1. Service is kind of poor with very limited staff. Food is 
just average. Needs bit improvement.",2,
,,,,,,"2. Average property with good location. Hotel is located 
near to market place. Daily need shops are just 10-15 meters 
from hotel. Staying in a cottage is better option rather than 
standard rooms. Room furniture is not nice. Wash rooms are 
basic.",4,
,,,,,,"3. We checked in here through Make my trip however the 
service by Make my Trip was pathetic. The owner Mr. Norboo 
is a gem of a person. He helped us a lot during the stay and 
extended what I would say is amazing hospitality.",4,
,,,,,,"4. The impression of property is not very heart warming. Food
 spread is also average but simple and good in quality. What
 impressed us the most is the friendly nature of the owners 
and the staff. ",4,
,,,,,,"5. Booked this hotel because we got floored by the website. 
Stayed in the independent bungalows, which are good but the
 housekeeping needs a big slap on the wrist.",3,
,,,,,,,,
6,Blossoms Village Resort,http://www.blossomsvillage.com/,"Blossoms Village Resort is located in a peaceful location in Dharamshala, Himachal Pradesh in India. Nestled at the foothills of the magnificentDhauladhar mountain range, Blossoms Resort is a premium resort and hotel in Dharamshala,  with eco-friendly construction and natural and pristine surroundings - A perfect getaway destination in the Himalayas.The resort at Dharamshala is an amalgamation of modern and the rustic, whether its My Earth store's  grounding touch or Maitreya Study Centre's expansive spirit and spa. Our guests get a relaxing stay at Dharamsala Resort with all the modern  amenities and facilities of an upmarket hotel, along with tailor-made services to suit every guest's needs.","Sidhpur, Dharamshala District Kangra Himachal Pradesh-176057",0867 924 6880,"1.Beautiful place surrounded by hills from almost all side... 
Very nicely constructed room.... iconic Balcony to every room... 
Food was not very excellent ...Breakfast was tasty... Room, Lawn, 
Sports activities... very nice palce in a budget for a family...",4,
,,,,,,"2. What can i say...this resort nd restaurant have a special place in 
my heart..last end of my colg time i visited this place so frequently
 ....the bone fire ..the lights ...the location ..i love every bit of it...one
 of the thing which i m gonna miss like i m gonna miss my colg...",5,
,,,,,,"3. I with my family stayed in this blossom village resort during our 
summer holidays. The location of the resort is in the village which
 is 5 km away from dharamshala. The place is very quiet and 
surrounded by farms in a valley. The resort is facing snow capped 
mountains. Resort facilities and staff are also very good. Services are also... ",4,
,,,,,,"4. This resort is a small heaven on earth!!! Its located perfectly facing the 
mountains and not too far away from the market place or even Mcleodganj!!! 
The staff are so very courteous and patient and will always serve you with a 
smile on their faces.Good food,served well. The owner himself,Nalin, is a 
lovely person, very accommodating and extremely helpful thus... ",4,
,,,,,,"5. The resort true to its name, is tucked in a village, there are some patches
 of agricultural land close to the property. You will be surprised to see the 
number of birds from this property... with my very limited knowledge of 
birds, I could spot more than 15 species of birds. Its a great experience 
to sit in their roof top restaurant, which offers a great view of the mountain 
range and listen to the birds chirping.",5,
7,Umaid Bhawan Palace Jodhpur,,"One of the largest royal residences in the world, the golden-yellow sandstone Umaid Bhawan Palace is a monument to 
Jodhpur’s gallantry and romance. Guests get a taste of what it was like to live like kings. From rooms once occupied by the 
Maharaja. From regal pastimes like polo or croquet. From magnificent views of the palace gardens and the spectacular 
Mehrangarh Fort. From unique themed dinners that flaunt all the pomp-and-splendour of the desert kingdom.","Near Circuit House, Jodhpur 342006, India",0291 251 0101,"1.Awesome place superb hospitality located at an awesome place you 
can have a view of whole city one of the best in Jodhpur
",4,
